"state_code","code","name"
"RO",1100015,"ALTA FLORESTA DO OESTE"
"RO",1100023,"ARIQUEMES"
"RO",1100031,"CABIXI"
"RO",1100049,"CACOAL"
"RO",1100056,"CEREJEIRAS"
"RO",1100064,"COLORADO DO OESTE"
"RO",1100072,"CORUMBIARA"
"RO",1100080,"COSTA MARQUES"
"RO",1100098,"ESPIGÃO D'OESTE"
"RO",1100106,"GUAJARÁ-MIRIM"
"RO",1100114,"JARU"
"RO",1100122,"JI-PARANÁ"
"RO",1100130,"MACHADINHO D'OESTE"
"RO",1100148,"NOVA BRASILÂNDIA D'OESTE"
"RO",1100155,"OURO PRETO DO OESTE"
"RO",1100189,"PIMENTA BUENO"
"RO",1100205,"PORTO VELHO"
"RO",1100254,"PRESIDENTE MÉDICI"
"RO",1100262,"RIO CRESPO"
"RO",1100288,"ROLIM DE MOURA"
"RO",1100296,"SANTA LUZIA DO OESTE"
"RO",1100304,"VILHENA"
"RO",1100320,"SÃO MIGUEL DO GUAPORÉ"
"RO",1100338,"NOVA MAMORÉ"
"RO",1100346,"ALVORADA DO OESTE"
"RO",1100379,"ALTO ALEGRE DOS PARECIS"
"RO",1100403,"ALTO PARAÍSO"
"RO",1100452,"BURITIS"
"RO",1100502,"NOVO HORIZONTE DO OESTE"
"RO",1100601,"CACAULÂNDIA"
"RO",1100700,"CAMPO NOVO DE RONDÔNIA"
"RO",1100809,"CANDEIAS DO JAMARI"
"RO",1100908,"CASTANHEIRAS"
"RO",1100924,"CHUPINGUAIA"
"RO",1100940,"CUJUBIM"
"RO",1101005,"GOVERNADOR JORGE TEIXEIRA"
"RO",1101104,"ITAPUÃ DO OESTE"
"RO",1101203,"MINISTRO ANDREAZZA"
"RO",1101302,"MIRANTE DA SERRA"
"RO",1101401,"MONTE NEGRO"
"RO",1101435,"NOVA UNIÃO"
"RO",1101450,"PARECIS"
"RO",1101468,"PIMENTEIRAS DO OESTE"
"RO",1101476,"PRIMAVERA DE RONDÔNIA"
"RO",1101484,"SÃO FELIPE D'OESTE"
"RO",1101492,"SÃO FRANCISCO DO GUAPORÉ"
"RO",1101500,"SERINGUEIRAS"
"RO",1101559,"TEIXEIRÓPOLIS"
"RO",1101609,"THEOBROMA"
"RO",1101708,"URUPÁ"
"RO",1101757,"VALE DO ANARI"
"RO",1101807,"VALE DO PARAÍSO"
"AC",1200013,"ACRELÂNDIA"
"AC",1200054,"ASSIS BRASIL"
"AC",1200104,"BRASILÉIA"
"AC",1200138,"BUJARI"
"AC",1200179,"CAPIXABA"
"AC",1200203,"CRUZEIRO DO SUL"
"AC",1200252,"EPITACIOLÂNDIA"
"AC",1200302,"FEIJÓ"
"AC",1200328,"JORDÃO"
"AC",1200336,"MÂNCIO LIMA"
"AC",1200344,"MANOEL URBANO"
"AC",1200351,"MARECHAL THAUMATURGO"
"AC",1200385,"PLÁCIDO DE CASTRO"
"AC",1200393,"PORTO WALTER"
