event_type,region,country,state,city_code,city_name,date_type,date,name,description,optional,source,started_at,finished_at,created_at,updated_at,revised_at,published_at
HOLIDAY,NATIONAL,BR,,,,FIXED,01-01,Confraternização Universal,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,FIXED,04-21,Tiradentes,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,FIXED,05-21,Dia do Trabalhador,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,FIXED,09-07,Dia da Pátria,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,FIXED,10-12,Nossa Senhora Aparecida,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,FIXED,11-02,Finados,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,FIXED,11-15,Proclamação da Repíblica,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,FIXED,12-25,Natal,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,EASTER_SUNDAY,-47 days,Carnaval,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,EASTER_SUNDAY,-2 days,Sexta-Feira Santa,,,wikipedia,,,,,,
HOLIDAY,NATIONAL,BR,,,,FIXED,60 days,Corpus Christi,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AC,,,FIXED,01-23,Dia do evangélico,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AC,,,FIXED,03-08,Alusivo ao dia internacional da mulher,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AC,,,FIXED,06-15,Aniversário do Estado,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AC,,,FIXED,09-05,Feriado Estadual,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AC,,,FIXED,11-17,Assinatura do tratado de Petrópolis,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AL,,,FIXED,06-24,São João,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AL,,,FIXED,06-29,São Pedro,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AL,,,FIXED,09-16,Emancipação Política,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AL,,,FIXED,11-20,Dia da Conciência Negra,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AP,,,FIXED,03-19,São José,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AP,,,FIXED,09-13,Criação do Território Federal,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AM,,,FIXED,09-05,Feriado Estadual,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,AM,,,FIXED,11-20,Dia da Conciência Negra,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,BA,,,FIXED,07-02,Independência da Bahia,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,CE,,,FIXED,03-25,Data da Abolição da Escravidão no Ceará,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,DF,,,FIXED,04-21,Fundação de Brasília,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,DF,,,FIXED,11-30,Dia do Evangélico,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,MA,,,FIXED,07-28,Adesão do Maranhão à Independência do Brasil,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,MT,,,FIXED,11-20,Dia da Conciência Negra,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,MS,,,FIXED,10-11,Criação do Estado,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,MG,,,FIXED,04-21,Data Magna do Estado,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,PA,,,FIXED,08-15,Adesão do Grão-Pará à Independência do Brasil,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,PB,,,FIXED,07-26,Homenagem à Memória do Ex-Presidente João Pessoa,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,PB,,,FIXED,08-05,Fundação do Estado,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,PR,,,FIXED,12-19,Emancipação Política,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,PE,,,FIXED,03-06,Revolução Pernambucana,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,PE,,,FIXED,06-24,São João,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,PI,,,FIXED,10-19,Dia do Piauí,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,RJ,,,FIXED,04-23,São Jorge,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,RJ,,,FIXED,11-20,Dia da Conciência Negra,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,RN,,,FIXED,10-03,Mártires de Cunhaú e Uruaçu,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,RS,,,FIXED,09-20,Proclamação da República Rio-Grandense,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,RO,,,FIXED,01-04,Criação do Estado,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,RO,,,FIXED,06-18,Dia do Evangélico,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,RR,,,FIXED,10-05,Criação do Estado,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,SC,,,FIXED,07-09,Revolução Constitucionalista,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,SC,,,FIXED,11-25,Santa Catarina de Alexandria,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,SP,,,FIXED,07-09,Revolução Constitucionalista,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,SE,,,FIXED,07-08,Emancipação Política,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,TO,,,FIXED,03-18,Autonomia do Estado,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,TO,,,FIXED,09-08,Padroeira do Estado,,,wikipedia,,,,,,
HOLIDAY,STATE,BR,TO,,,FIXED,10-05,Criação do Estado,,,wikipedia,,,,,,
HOLIDAY,CITY,BR,SP,3550308,SÃO PAULO,EASTER_SUNDAY,-2 days,Sexta-Feira Santa,,,wikipedia,,,,,,
COMMEMORATIVE_DATE,NATIONAL,BR,,,,VARIABLE_YEAR_STRING,%s-05 second sunday,Dia das Mães,,,,,,,,,
HOLIDAY,CITY,BR,BA,2926509,RIBEIRA DO AMPARO,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,MA,2101301,BACURI,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,CE,2305407,ICÓ,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RN,2414407,TOUROS,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,RN,2406502,LAGOA NOVA,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
HOLIDAY,CITY,BR,PR,4106407,CORNÉLIO PROCÓPIO,FIXED,01-02,Feriado municipal,,,FEBRABAN,,,,,,
