id,state_code,code,name
1,RO,1100015,Alta Floresta D'Oeste
2,RO,1100023,Ariquemes
3,RO,1100031,Cabixi
4,RO,1100049,Cacoal
5,RO,1100056,Cerejeiras
6,RO,1100064,Colorado do Oeste
7,RO,1100072,Corumbiara
8,RO,1100080,Costa Marques
9,RO,1100098,Espigão D'Oeste
10,RO,1100106,Guajará-Mirim
11,RO,1100114,Jaru
12,RO,1100122,Ji-Paraná
13,RO,1100130,Machadinho D'Oeste
14,RO,1100148,Nova Brasilândia D'Oeste
15,RO,1100155,Ouro Preto do Oeste
16,RO,1100189,Pimenta Bueno
17,RO,1100205,Porto Velho
18,RO,1100254,Presidente Médici
19,RO,1100262,Rio Crespo
20,RO,1100288,Rolim de Moura
21,RO,1100296,Santa Luzia D'Oeste
22,RO,1100304,Vilhena
23,RO,1100320,São Miguel do Guaporé
24,RO,1100338,Nova Mamoré
25,RO,1100346,Alvorada D'Oeste
26,RO,1100379,Alto Alegre dos Parecis
27,RO,1100403,Alto Paraíso
28,RO,1100452,Buritis
29,RO,1100502,Novo Horizonte do Oeste
30,RO,1100601,Cacaulândia
31,RO,1100700,Campo Novo de Rondônia
32,RO,1100809,Candeias do Jamari
33,RO,1100908,Castanheiras
34,RO,1100924,Chupinguaia
35,RO,1100940,Cujubim
36,RO,1101005,Governador Jorge Teixeira
37,RO,1101104,Itapuã do Oeste
38,RO,1101203,Ministro Andreazza
39,RO,1101302,Mirante da Serra
40,RO,1101401,Monte Negro
41,RO,1101435,Nova União
42,RO,1101450,Parecis
43,RO,1101468,Pimenteiras do Oeste
44,RO,1101476,Primavera de Rondônia
45,RO,1101484,São Felipe D'Oeste
46,RO,1101492,São Francisco do Guaporé
47,RO,1101500,Seringueiras
48,RO,1101559,Teixeirópolis
49,RO,1101609,Theobroma
50,RO,1101708,Urupá
51,RO,1101757,Vale do Anari
52,RO,1101807,Vale do Paraíso
53,AC,1200013,Acrelândia
54,AC,1200054,Assis Brasil
55,AC,1200104,Brasiléia
56,AC,1200138,Bujari
57,AC,1200179,Capixaba
58,AC,1200203,Cruzeiro do Sul
59,AC,1200252,Epitaciolândia
60,AC,1200302,Feijó
61,AC,1200328,Jordão
62,AC,1200336,Mâncio Lima
63,AC,1200344,Manoel Urbano
64,AC,1200351,Marechal Thaumaturgo
65,AC,1200385,Plácido de Castro
66,AC,1200393,Porto Walter
67,AC,1200401,Rio Branco
68,AC,1200427,Rodrigues Alves
69,AC,1200435,Santa Rosa do Purus
70,AC,1200450,Senador Guiomard
71,AC,1200500,Sena Madureira
72,AC,1200609,Tarauacá
73,AC,1200708,Xapuri
74,AC,1200807,Porto Acre
75,AM,1300029,Alvarães
76,AM,1300060,Amaturá
77,AM,1300086,Anamã
78,AM,1300102,Anori
79,AM,1300144,Apuí
80,AM,1300201,Atalaia do Norte
81,AM,1300300,Autazes
82,AM,1300409,Barcelos
83,AM,1300508,Barreirinha
84,AM,1300607,Benjamin Constant
85,AM,1300631,Beruri
86,AM,1300680,Boa Vista do Ramos
87,AM,1300706,Boca do Acre
88,AM,1300805,Borba
89,AM,1300839,Caapiranga
90,AM,1300904,Canutama
91,AM,1301001,Carauari
92,AM,1301100,Careiro
93,AM,1301159,Careiro da Várzea
94,AM,1301209,Coari
95,AM,1301308,Codajás
96,AM,1301407,Eirunepé
97,AM,1301506,Envira
98,AM,1301605,Fonte Boa
99,AM,1301654,Guajará
100,AM,1301704,Humaitá
101,AM,1301803,Ipixuna
102,AM,1301852,Iranduba
103,AM,1301902,Itacoatiara
104,AM,1301951,Itamarati
105,AM,1302009,Itapiranga
106,AM,1302108,Japurá
107,AM,1302207,Juruá
108,AM,1302306,Jutaí
109,AM,1302405,Lábrea
110,AM,1302504,Manacapuru
111,AM,1302553,Manaquiri
112,AM,1302603,Manaus
113,AM,1302702,Manicoré
114,AM,1302801,Maraã
115,AM,1302900,Maués
116,AM,1303007,Nhamundá
117,AM,1303106,Nova Olinda do Norte
118,AM,1303205,Novo Airão
119,AM,1303304,Novo Aripuanã
120,AM,1303403,Parintins
121,AM,1303502,Pauini
122,AM,1303536,Presidente Figueiredo
123,AM,1303569,Rio Preto da Eva
124,AM,1303601,Santa Isabel do Rio Negro
125,AM,1303700,Santo Antônio do Içá
126,AM,1303809,São Gabriel da Cachoeira
127,AM,1303908,São Paulo de Olivença
